version,buffer_bounds,img_augment,distance_mode,log_dist,num_1_factor,num_1_point95,norm_from_train,val_frac,val_metric,model_name,accept_midinput,MDL_Unet++_decoder_attention_type,MDL_Unet++_encoder_name,batch_size,loss,LS_focal_alpha,lr,scheduler,LR_StepLR_step_size,LR_StepLR_gamma,LR_CosineAnnealingWarmRestarts_T_0,LR_Warmup_milestone,LR_CosineAnnealingLR_T_max,LR_CosineAnnealingLR_eta_min,optimizer,OPT_AdamW_weight_decay,max_epochs,early_stop_patience,version_run,test-set,trainings_per_test,eval_conn_version
85,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,efficientnet-b4,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
86,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
87,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0005,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
88,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,5e-05,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
89,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,1e-05,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],20,23
90,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts_Warmup,,,10,10,,,AdamW,0.1,200,30,True,[49],20,23
91,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR,5,0.5,,,,,AdamW,0.1,200,20,True,[49],20,23
92,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,StepLR_Warmup,5,0.5,,10,,,AdamW,0.1,200,30,True,[49],20,23
93,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingLR,,,,,50,1e-06,AdamW,0.1,200,20,True,[49],20,23
94,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingLR_Warmup,,,,10,50,1e-06,AdamW,0.1,200,30,True,[49],20,23
95,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,,,,,,,,AdamW,0.1,200,20,True,[49],20,23
